group,datasetName,datasetId,formula,adduct,chemMod,ion,mz,msm,fdr,rhoSpatial,rhoSpectral,rhoChaos,moleculeNames,moleculeIds,minIntensity,maxIntensity,totalIntensity,offSample,rawOffSampleProb,isomerIons,isobarIons
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C6H12O6,M+Cl,,C6H12O6+Cl-,215.0327502,0.989159,0.05,0.992832844,0.996404494,0.999894482,"D-Mannose, Alpha-D-Glucopyranoside, D-Glucose, 3-Deoxyarabinohexonic acid, D-Galactose, myo-Inositol, Beta-D-Glucose, D-Fructose, Allose, L-Sorbose, Alpha-D-Glucose, D-Tagatose, Beta-D-Galactose, scyllo-Inositol, L-Gulose, Dihydroxyacetone (dimer), L-Galactose, Levoinositol, muco-Inositol, D-Glucopyranoside, 3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA, Glycoprotein-phospho-D-mannose, Fructose-1P, 2,5-bis(hydroxymethyl)oxolane-2,3,4-triol, epi-Inositol, neo-inositol, D-chiro-inositol, cis-inositol, allo-inositol","HMDB0000169, HMDB0061922, HMDB0000122, HMDB0000346, HMDB0000143, HMDB0000211, HMDB0000516, HMDB0000660, HMDB0001151, HMDB0001266, HMDB0003345, HMDB0003418, HMDB0003449, HMDB0006088, HMDB0012326, HMDB0032222, HMDB0033704, HMDB0034220, HMDB0062138, HMDB0062170, HMDB0062202, HMDB0062473, HMDB0062538, HMDB0125599, HMDB0240207, HMDB0240208, HMDB0240209, HMDB0240210, HMDB0240211",0,4637722.5,3571770880,FALSE,0.046642046,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C5H9NO4,M-H,,C5H9NO4-H-,146.0458421,0.985513,0.05,0.986110905,0.999501582,0.999891861,"N-Acetylserine, L-Glutamic acid, N-Methyl-D-aspartic acid, O-Acetylserine, D-Glutamic acid, L-4-Hydroxyglutamate semialdehyde, 3-(Carboxymethylamino)propanoic acid, N-lactoyl-Glycine, DL-Glutamate","HMDB0002931, HMDB0000148, HMDB0002393, HMDB0003011, HMDB0003339, HMDB0006556, HMDB0033550, HMDB0062183, HMDB0060475",0,13933449,10978634752,FALSE,0.031613655,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C18H34O2,M+Cl,,C18H34O2+Cl-,317.2252424,0.981951,0.05,0.986394323,0.995517772,0.999977283,"Elaidic acid, Vaccenic acid, Oleic acid, (Z)-13-Octadecenoic acid, Ethyl 9-hexadecenoate, (E)-13-Octadecenoic acid, 7Z-octadecenoic acid, Octadec-9-enoic Acid, cis-Vaccenic acid","HMDB0000573, HMDB0003231, HMDB0000207, HMDB0041480, HMDB0059871, HMDB0062218, HMDB0062242, HMDB0062703, HMDB0240219",0,1878084.5,1041409792,FALSE,0.144220024,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C18H32O2,M+Cl,,C18H32O2+Cl-,315.2095923,0.977834,0.05,0.983391383,0.994372406,0.999976476,"Linoleic acid, Bovinic acid, 9E,11E-Octadecadienoic acid, 10E,12Z-Octadecadienoic acid, Linoelaidic acid, Mangiferic acid, Linalyl caprylate, Ethyl 2E,4Z-hexadecadienoate, 5-Octadecynoic acid, 6Z,9Z-octadecadienoic acid, Octadecadienoate","HMDB0000673, HMDB0003797, HMDB0005047, HMDB0005048, HMDB0006270, HMDB0029800, HMDB0030430, HMDB0031051, HMDB0031097, HMDB0062238, HMDB0062784",0,1344583.25,817775040,FALSE,0.112730622,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C20H32O2,M+Cl,,C20H32O2+Cl-,339.2095923,0.96435,0.05,0.971009782,0.993256617,0.999883612,"ent-17-Hydroxy-16beta-kauran-19-al, Arachidonic acid, Cis-8,11,14,17-Eicosatetraenoic acid, Mesterolone, Drostanolone, Sideridiol, Yucalexin P21, Copalic acid, Junicedral, 7,13-Eperudien-15-oic acid, Oryzalexin S, Oryzalexin E","HMDB0036721, HMDB0001043, HMDB0002177, HMDB0006036, HMDB0014996, HMDB0036702, HMDB0036754, HMDB0036829, HMDB0036830, HMDB0037824, HMDB0039687, HMDB0039702",0,977017.0625,662968064,FALSE,0.06418889,,C22H29O3-H-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C21H40O4,M+Cl,,C21H40O4+Cl-,391.2620218,0.936083,0.05,0.950070168,0.985441829,0.999833319,"MG(0:0/18:1(11Z)/0:0), MG(0:0/18:1(9Z)/0:0), MG(18:1(11Z)/0:0/0:0), MG(18:1(9Z)/0:0/0:0), Stearoyllactic acid, 3-(2-Heptenyloxy)-2-hydroxypropyl undecanoate, Monooleoylglycerol","HMDB0011536, HMDB0011537, HMDB0011566, HMDB0011567, HMDB0033372, HMDB0034031, HMDB0094684",0,148601,198823600,FALSE,0.00197586,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C21H38O4,M+Cl,,C21H38O4+Cl-,389.2463717,0.918946,0.05,0.942511068,0.975273053,0.99971729,"MG(0:0/18:2(9Z,12Z)/0:0), MG(18:2(9Z,12Z)/0:0/0:0)","HMDB0011538, HMDB0011568",0,84971.23438,156297248,FALSE,0.000426202,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C18H34O4,M+Cl,,C18H34O4+Cl-,349.2150716,0.915232,0.05,0.934231748,0.979715837,0.99994566,"Octadecanedioic acid, 9,10-DHOME, 12,13-DHOME, (9xi,10xi,12xi)-9,10-Dihydroxy-12-octadecenoic acid, Dibutyl decanedioate","HMDB0000782, HMDB0004704, HMDB0004705, HMDB0031679, HMDB0041220",0,260987.9219,184880896,FALSE,0.003298905,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C5H4N4O2,M-H,,C5H4N4O2-H-,151.0261097,0.905609,0.05,0.907885238,0.997589619,0.999903044,"Xanthine, Oxypurinol, 6,8-Dihydroxypurine","HMDB0000292, HMDB0000786, HMDB0001182",0,1780641.875,1543837056,FALSE,0.008462647,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C4H7NO4,M-H,,C4H7NO4-H-,132.030192,0.903035,0.05,0.905108153,0.997813713,0.99989605,"L-Aspartic acid, Iminodiacetic acid, D-Aspartic acid, 1-deoxy-1-(N6-lysino)-D-fructose","HMDB0000191, HMDB0011753, HMDB0006483, HMDB0062186",0,2741367,2151589120,FALSE,0.023591861,,
